"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","is_correct"
"true","fullscreen","0","19945","0.0-0.0","1365","1080","","","","","","","","",""
"","jo-html-keyboard-response","1","22474","0.0-1.0","","","1520.5","<div style='margin: auto 0'><p>In this experiment, you will complete the same task multiple times.<br>Each time, you will hear three different tones.<br>Afterwards, you will hear a single tone.<p>Your task is simply to determine whether the single tone was in the previous set of three tones that you heard.</div>","32","_juliaong","instruct_prompt","","","",""
"","jo-play-tone","2","23747","0.0-2.0","","","","","","_juliaong","key_trial","2217.46","250","avg",""
"","jo-play-tone","3","25006","0.0-3.0","","","","","","_juliaong","key_trial","3322.44","250","avg",""
"","jo-play-tone","4","26263","0.0-4.0","","","","","","_juliaong","key_trial","4978.03","250","avg",""
"","html-keyboard-response","5","27269","0.0-5.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","6","28530","0.0-6.0","","","","","","_juliaong","key_trial","3505.976666666667","250","avg",""
"","html-keyboard-response","7","28894","0.0-7.0","","","362.1000000089407","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","3505.976666666667","","avg","true"
"","html-keyboard-response","8","29399","0.0-8.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","9","30671","0.0-9.0","","","","","","_juliaong","key_trial","3322.44","250","wrong",""
"","jo-play-tone","10","31931","0.0-10.0","","","","","","_juliaong","key_trial","2217.46","250","wrong",""
"","jo-play-tone","11","33188","0.0-11.0","","","","","","_juliaong","key_trial","1479.98","250","wrong",""
"","html-keyboard-response","12","34191","0.0-12.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","13","35448","0.0-13.0","","","","","","_juliaong","key_trial","1108.73","250","wrong",""
"","html-keyboard-response","14","35886","0.0-14.0","","","436.20000000298023","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","1108.73","","wrong","true"
"","html-keyboard-response","15","36390","0.0-15.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","16","37658","0.0-16.0","","","","","","_juliaong","key_trial","146.83","250","wrong",""
"","jo-play-tone","17","38915","0.0-17.0","","","","","","_juliaong","key_trial","220","250","wrong",""
"","jo-play-tone","18","40171","0.0-18.0","","","","","","_juliaong","key_trial","329.63","250","wrong",""
"","html-keyboard-response","19","41176","0.0-19.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","20","42432","0.0-20.0","","","","","","_juliaong","key_trial","110","250","wrong",""
"","html-keyboard-response","21","42753","0.0-21.0","","","320.20000000298023","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","110","","wrong","true"
"","html-keyboard-response","22","43257","0.0-22.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","23","44526","0.0-23.0","","","","","","_juliaong","key_trial","587.33","250","right",""
"","jo-play-tone","24","45788","0.0-24.0","","","","","","_juliaong","key_trial","880","250","right",""
"","jo-play-tone","25","47048","0.0-25.0","","","","","","_juliaong","key_trial","392","250","right",""
"","html-keyboard-response","26","48052","0.0-26.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","27","49313","0.0-27.0","","","","","","_juliaong","key_trial","392","250","right",""
"","html-keyboard-response","28","49608","0.0-28.0","","","293.90000000596046","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","392","","right","true"
"","html-keyboard-response","29","50111","0.0-29.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","30","51382","0.0-30.0","","","","","","_juliaong","key_trial","329.63","250","right",""
"","jo-play-tone","31","52639","0.0-31.0","","","","","","_juliaong","key_trial","739.99","250","right",""
"","jo-play-tone","32","53897","0.0-32.0","","","","","","_juliaong","key_trial","493.88","250","right",""
"","html-keyboard-response","33","54902","0.0-33.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","34","56162","0.0-34.0","","","","","","_juliaong","key_trial","329.63","250","right",""
"","html-keyboard-response","35","56612","0.0-35.0","","","449.70000000298023","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","329.63","","right","true"
"","html-keyboard-response","36","57115","0.0-36.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","37","58382","0.0-37.0","","","","","","_juliaong","key_trial","155.56","250","right",""
"","jo-play-tone","38","59641","0.0-38.0","","","","","","_juliaong","key_trial","233.08","250","right",""
"","jo-play-tone","39","60899","0.0-39.0","","","","","","_juliaong","key_trial","349.23","250","right",""
"","html-keyboard-response","40","61905","0.0-40.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","41","63163","0.0-41.0","","","","","","_juliaong","key_trial","233.08","250","right",""
"","html-keyboard-response","42","64304","0.0-42.0","","","1140.0999999940395","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","233.08","","right","true"
"","html-keyboard-response","43","64809","0.0-43.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","44","66080","0.0-44.0","","","","","","_juliaong","key_trial","1567.98","250","avg",""
"","jo-play-tone","45","67340","0.0-45.0","","","","","","_juliaong","key_trial","1046.5","250","avg",""
"","jo-play-tone","46","68599","0.0-46.0","","","","","","_juliaong","key_trial","2349.32","250","avg",""
"","html-keyboard-response","47","69605","0.0-47.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","48","70864","0.0-48.0","","","","","","_juliaong","key_trial","1654.6000000000001","250","avg",""
"","html-keyboard-response","49","71253","0.0-49.0","","","387.40000000596046","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","1654.6000000000001","","avg","true"
"","html-keyboard-response","50","71758","0.0-50.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","51","73030","0.0-51.0","","","","","","_juliaong","key_trial","36.71","250","right",""
"","jo-play-tone","52","74288","0.0-52.0","","","","","","_juliaong","key_trial","24.5","250","right",""
"","jo-play-tone","53","75547","0.0-53.0","","","","","","_juliaong","key_trial","55","250","right",""
"","html-keyboard-response","54","76548","0.0-54.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","55","77808","0.0-55.0","","","","","","_juliaong","key_trial","24.5","250","right",""
"","html-keyboard-response","56","78107","0.0-56.0","","","298.5","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","24.5","","right","false"
"","html-keyboard-response","57","78611","0.0-57.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","58","79881","0.0-58.0","","","","","","_juliaong","key_trial","110","250","avg",""
"","jo-play-tone","59","81139","0.0-59.0","","","","","","_juliaong","key_trial","73.42","250","avg",""
"","jo-play-tone","60","82397","0.0-60.0","","","","","","_juliaong","key_trial","164.81","250","avg",""
"","html-keyboard-response","61","83402","0.0-61.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","62","84661","0.0-62.0","","","","","","_juliaong","key_trial","116.07666666666667","250","avg",""
"","html-keyboard-response","63","85037","0.0-63.0","","","375.40000000596046","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","116.07666666666667","","avg","false"
"","html-keyboard-response","64","85541","0.0-64.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","65","86808","0.0-65.0","","","","","","_juliaong","key_trial","220","250","wrong",""
"","jo-play-tone","66","88067","0.0-66.0","","","","","","_juliaong","key_trial","98","250","wrong",""
"","jo-play-tone","67","89325","0.0-67.0","","","","","","_juliaong","key_trial","146.83","250","wrong",""
"","html-keyboard-response","68","90330","0.0-68.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","69","91588","0.0-69.0","","","","","","_juliaong","key_trial","73.42","250","wrong",""
"","html-keyboard-response","70","92402","0.0-70.0","","","813.7999999970198","Was the tone in the set or not?<br>Y=YES, N=NO","78","_juliaong","resp_trial","73.42","","wrong","true"
"","html-keyboard-response","71","92907","0.0-71.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","72","94180","0.0-72.0","","","","","","_juliaong","key_trial","220","250","right",""
"","jo-play-tone","73","95438","0.0-73.0","","","","","","_juliaong","key_trial","98","250","right",""
"","jo-play-tone","74","96698","0.0-74.0","","","","","","_juliaong","key_trial","146.83","250","right",""
"","html-keyboard-response","75","97703","0.0-75.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","76","98963","0.0-76.0","","","","","","_juliaong","key_trial","146.83","250","right",""
"","html-keyboard-response","77","99337","0.0-77.0","","","372.6000000089407","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","146.83","","right","true"
"","html-keyboard-response","78","99841","0.0-78.0","","","null","<div style=""font-size:60px;""></div>","null","_juliaong","blank","","","",""
"","jo-play-tone","79","101107","0.0-79.0","","","","","","_juliaong","key_trial","783.99","250","right",""
"","jo-play-tone","80","102366","0.0-80.0","","","","","","_juliaong","key_trial","349.23","250","right",""
"","jo-play-tone","81","103624","0.0-81.0","","","","","","_juliaong","key_trial","523.25","250","right",""
"","html-keyboard-response","82","104630","0.0-82.0","","","null","<div>Did you hear this tone?</div>","null","_juliaong","fixation","","","",""
"","jo-play-tone","83","105891","0.0-83.0","","","","","","_juliaong","key_trial","783.99","250","right",""
"","html-keyboard-response","84","106202","0.0-84.0","","","310.30000001192093","Was the tone in the set or not?<br>Y=YES, N=NO","89","_juliaong","resp_trial","783.99","","right","true"
